State,x,y
Andhra Pradesh,-105,-222
Arunachal Pradesh,301,136
Assam,241,84
Bihar,91,67
Chhattisgarh,-4,-30
Delhi,-133,146
Goa,-209,-213
Gujarat,-259,-3
Haryana,-165,165
Himachal Pradesh ,-121,242
Jammu & Kashmir,-173,295
Jharkhand,60,2
Karnataka,-183,-225
Kerala,-150,-341
Madhya Pradesh,-121,-2
Maharashtra,-162,-98
Manipur,289,35
Meghalaya,218,58
Mizoram,263,2
Nagaland,305,78
Odisha,45,-72
Punjab,-161,205
Rajasthan,-192,117
Sikkim,153,116
Tamil Nadu,-89,-329
Telangana,-91,-150
Tripura,232,10
Uttar Pradesh,-73,124
Uttarakhand,-75,193
West Bengal,133,-5
